symbol,filing_date,pbt_growth_yoy_pct,fwd_5d_pct,fwd_20d_pct,fwd_60d_pct,logged_on
MTNN,2026-07-30,75.4,-1.41,-9.7,,2026-09-20
UACN,2026-07-29,210.3,-1.7,-2.33,,2026-09-20
NEM,2026-07-28,16.8,6.11,2.89,,2026-09-20
UNILEVER,2026-07-21,20.8,18.36,-8.8,,2026-09-20
ETERNA,2026-07-30,388.7,21.0,18.5,,2026-09-20
MAYBAKER,2026-07-29,50.8,2.56,-5.13,,2026-09-20
MBENEFIT,2026-07-30,-15.7,-0.93,-0.93,,2026-09-20
BUACEMENT,2026-07-23,79.0,-2.47,-2.47,,2026-09-20
BETAGLAS,2026-07-31,-11.3,0.0,0.0,,2026-09-20
SEPLAT,2026-07-30,96.3,0.0,8.42,,2026-09-20
FIDSON,2026-07-24,30.1,-6.45,-6.45,,2026-09-20
TRANSCORP,2026-07-22,-11.5,1.45,-10.63,,2026-09-20
UCAP,2026-07-27,79.6,-3.23,-6.99,,2026-09-20
FIRSTHOLDCO,2026-07-20,83.5,19.43,32.7,,2026-09-20
AIICO,2026-07-31,20.6,1.2,-9.4,,2026-09-20
TIP,2026-07-30,119.6,-10.0,-15.83,,2026-09-20
NGXGROUP,2026-07-27,170.3,-12.19,-20.4,,2026-09-20
INTBREW,2026-07-30,21.6,-8.71,-23.24,,2026-09-20
CHAMS,2026-07-30,14.6,-1.15,-8.51,,2026-09-20
NAHCO,2026-07-30,21.8,-15.66,-9.52,,2026-09-20
CUSTODIAN,2026-07-29,41.5,-4.65,-8.41,,2026-09-20
PRESCO,2026-07-29,9.3,0.0,-1.19,,2026-09-20
BUAFOODS,2026-07-30,14.0,0.0,-10.0,,2026-09-20
DANGCEM,2026-07-29,34.4,0.0,0.0,,2026-09-20
ROYALEX,2026-07-27,-95.6,0.78,-25.58,,2026-09-20
