date,decision,rate_before,rate_after,note,source,fwd_20d_asi_pct,fwd_60d_asi_pct,fwd_120d_asi_pct,fwd_250d_asi_pct,logged_on
2006-12-01,hike,0.0,10.0,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),6.22,28.01,62.31,72.52,2026-09-20
2007-06-01,cut,10.0,8.0,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),1.1,-0.94,7.43,14.58,2026-09-20
2007-10-01,hike,8.0,9.0,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),-0.05,16.63,25.46,-9.41,2026-09-20
2007-12-01,hike,9.0,9.5,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),8.6,21.15,8.75,-42.23,2026-09-20
2008-04-01,hike,9.5,10.0,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),-4.7,-14.22,-24.28,-68.26,2026-09-20
2008-06-01,hike,10.0,10.25,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),-6.83,-24.73,-37.71,-48.76,2026-09-20
2008-09-01,cut,10.25,9.75,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),-6.59,-31.89,-52.05,-54.9,2026-09-20
2009-04-01,cut,9.75,8.0,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),7.91,35.18,13.23,36.96,2026-09-20
2009-07-01,cut,8.0,6.0,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),-7.74,-17.95,-24.58,-7.52,2026-09-20
2010-09-01,hike,6.0,6.25,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),-2.06,2.51,6.7,-11.94,2026-09-20
2011-01-01,hike,6.25,6.5,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),8.32,-0.07,1.02,-16.33,2026-09-20
2011-03-01,hike,6.5,7.5,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),-4.32,-0.02,-13.75,-20.3,2026-09-20
2011-05-01,hike,7.5,8.0,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),3.29,-3.93,-19.1,-10.0,2026-09-20
2011-07-01,hike,8.0,8.75,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),-3.52,-18.95,-15.93,-11.2,2026-09-20
2011-09-01,hike,8.75,9.25,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),-5.42,-6.1,-4.39,12.74,2026-09-20
2011-10-01,hike,9.25,12.0,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),2.76,1.76,2.67,29.82,2026-09-20
2014-11-01,hike,12.0,13.0,backfilled from CBN Money Market Indicators,CBN official (cbn.gov.ng/rates),-8.01,-21.06,-8.61,-22.68,2026-09-20
