year,quarter,period_label,real_gdp_level_nbn,real_gdp_growth_qoq_pct,real_gdp_growth_yoy_pct,real_gdp_share_of_gdp_pct,real_gdp_market_px_level_nbn,real_gdp_market_px_growth_qoq_pct,real_gdp_market_px_growth_yoy_pct,oil_level_nbn,oil_growth_qoq_pct,oil_growth_yoy_pct,oil_share_of_gdp_pct,non_oil_level_nbn,non_oil_growth_qoq_pct,non_oil_growth_yoy_pct,non_oil_share_of_gdp_pct,agriculture_level_nbn,agriculture_growth_qoq_pct,agriculture_growth_yoy_pct,agriculture_share_of_gdp_pct,industry_level_nbn,industry_growth_qoq_pct,industry_growth_yoy_pct,industry_share_of_gdp_pct,services_level_nbn,services_growth_qoq_pct,services_growth_yoy_pct,services_share_of_gdp_pct
2010,Q1,2010Q1,12583.48,,,100.0,12790.38,,,1937.63,,,15.4,10645.85,,,84.6,2594.76,,,20.62,3284.29,,,26.1,6704.43,,,53.28
2010,Q2,2010Q2,12934.53,2.79,,100.0,13141.5,2.75,,1983.89,2.39,,15.34,10950.64,2.86,,84.66,2873.38,10.74,,22.21,3314.21,0.91,,25.62,6746.94,0.63,,52.16
2010,Q3,2010Q3,14304.44,10.59,,100.0,14516.59,10.46,,2092.03,5.45,,14.63,12212.41,11.52,,85.37,4000.03,39.21,,27.96,3422.53,3.27,,23.93,6881.88,2.0,,48.11
2010,Q4,2010Q4,14789.82,3.39,,100.0,15020.88,3.47,,2389.12,14.2,,16.15,12400.7,1.54,,83.85,3580.73,-10.48,,24.21,3805.4,11.19,,25.73,7403.69,7.58,,50.06
2011,Q1,2011Q1,13450.72,-9.05,6.89,100.0,13621.79,-9.31,6.5,2406.68,0.73,24.21,17.89,11044.04,-10.94,3.74,82.11,2653.86,-25.88,2.28,19.73,3878.28,1.92,18.09,28.83,6918.57,-6.55,3.19,51.44
2011,Q2,2011Q2,13757.73,2.28,6.36,100.0,13917.31,2.17,5.9,2193.57,-8.85,10.57,15.94,11564.16,4.71,5.6,84.06,2955.29,11.36,2.85,21.48,3708.68,-4.37,11.9,26.96,7093.76,2.53,5.14,51.56
2011,Q3,2011Q3,14819.62,7.72,3.6,100.0,15007.59,7.83,3.38,2022.2,-7.81,-3.34,13.65,12797.42,10.66,4.79,86.35,4130.57,39.77,3.26,27.87,3610.81,-2.64,5.5,24.37,7078.24,-0.22,2.85,47.76
2011,Q4,2011Q4,15482.97,4.48,4.69,100.0,15633.66,4.17,4.08,1976.19,-2.28,-17.28,12.76,13506.78,5.54,8.92,87.24,3689.65,-10.67,3.04,23.83,3788.85,4.93,-0.43,24.47,8004.47,13.09,8.11,51.7
2012,Q1,2012Q1,13915.51,-10.12,3.46,100.0,14105.66,-9.77,3.55,2207.3,11.69,-8.28,15.86,11708.21,-13.32,6.01,84.14,2805.8,-23.95,5.73,20.16,3956.63,4.43,2.02,28.43,7153.08,-10.64,3.39,51.4
2012,Q2,2012Q2,14323.05,2.93,4.11,100.0,14504.45,2.83,4.22,1970.22,-10.74,-10.18,13.76,12352.83,5.51,6.82,86.24,3160.09,12.63,6.93,22.06,3797.66,-4.02,2.4,26.51,7365.3,2.97,3.83,51.42
2012,Q3,2012Q3,15645.43,9.23,5.57,100.0,15826.0,9.11,5.45,2221.02,12.73,9.83,14.2,13424.41,8.67,4.9,85.8,4307.97,36.32,4.29,27.54,4016.87,5.77,11.25,25.67,7320.59,-0.61,3.42,46.79
2012,Q4,2012Q4,16045.9,2.56,3.64,100.0,16233.94,2.58,3.84,1774.72,-20.09,-10.19,11.06,14271.18,6.31,5.66,88.94,4055.84,-5.85,9.92,25.28,3579.29,-10.89,-5.53,22.31,8410.77,14.89,5.08,52.42
2013,Q1,2013Q1,14535.42,-9.41,4.45,100.0,14715.33,-9.35,4.32,1955.77,10.2,-11.4,13.46,12579.65,-11.85,7.44,86.54,2874.85,-29.12,2.46,19.78,4028.51,12.55,1.82,27.72,7632.07,-9.26,6.7,52.51
2013,Q2,2013Q2,15096.76,3.86,5.4,100.0,15262.31,3.72,5.23,1646.66,-15.81,-16.42,10.91,13450.1,6.92,8.88,89.09,3241.18,12.74,2.57,21.47,3831.45,-4.89,0.89,25.38,8024.14,5.14,8.95,53.15
2013,Q3,2013Q3,16454.37,8.99,5.17,100.0,16646.8,9.07,5.19,1894.18,15.03,-14.72,11.51,14560.19,8.25,8.46,88.49,4456.11,37.48,3.44,27.08,4012.72,4.73,-0.1,24.39,7985.54,-0.48,9.08,48.53
2013,Q4,2013Q4,17132.16,4.12,6.77,100.0,17318.41,4.03,6.68,1608.67,-15.07,-9.36,9.39,15523.49,6.62,8.78,90.61,4178.39,-6.23,3.02,24.39,3809.78,-5.06,6.44,22.24,9143.99,14.51,8.72,53.37
2014,Q1,2014Q1,15438.68,-9.88,6.21,100.0,15601.05,-9.92,6.02,1826.67,13.55,-6.6,11.83,13612.01,-12.31,8.21,88.17,3033.97,-27.39,5.53,19.65,4223.47,10.86,4.84,27.36,8181.24,-10.53,7.2,52.99
2014,Q2,2014Q2,16084.62,4.18,6.54,100.0,16249.37,4.16,6.47,1731.38,-5.22,5.14,10.76,14353.24,5.45,6.71,89.24,3360.45,10.76,3.68,20.89,4175.0,-1.15,8.97,25.96,8549.17,4.5,6.54,53.15
2014,Q3,2014Q3,17479.13,8.67,6.23,100.0,17707.53,8.97,6.37,1826.08,5.47,-3.6,10.45,15653.05,9.06,7.51,89.55,4655.32,38.53,4.47,26.63,4230.77,1.34,5.43,24.2,8593.04,0.51,7.61,49.16
2014,Q4,2014Q4,18150.36,3.84,5.94,100.0,18419.51,4.02,6.36,1627.68,-10.86,1.18,8.97,16522.68,5.56,6.44,91.03,4330.65,-6.97,3.64,23.86,4112.92,-2.79,7.96,22.66,9706.8,12.96,6.15,53.48
2015,Q1,2015Q1,16050.6,-11.57,3.96,100.0,16203.8,-12.03,3.86,1677.85,3.08,-8.15,10.45,14372.75,-13.01,5.59,89.55,3176.6,-26.65,4.7,19.79,4116.74,0.09,-2.53,25.65,8757.27,-9.78,7.04,54.56
2015,Q2,2015Q2,16463.34,2.57,2.35,100.0,16623.05,2.59,2.3,1613.75,-3.82,-6.79,9.8,14849.59,3.32,3.46,90.2,3477.85,9.48,3.49,21.12,4036.7,-1.94,-3.31,24.52,8948.8,2.19,4.67,54.36
2015,Q3,2015Q3,17976.23,9.19,2.84,100.0,18208.48,9.54,2.83,1845.39,14.35,1.06,10.27,16130.84,8.63,3.05,89.73,4816.52,38.49,3.46,26.79,4225.39,4.67,-0.13,23.51,8934.32,-0.16,3.97,49.7
2015,Q4,2015Q4,18533.75,3.1,2.11,100.0,18745.36,2.95,1.77,1492.97,-19.1,-8.28,8.06,17040.78,5.64,3.14,91.94,4481.26,-6.96,3.48,24.18,3987.83,-5.62,-3.04,21.52,10064.67,12.65,3.69,54.3
2016,Q1,2016Q1,15943.71,-13.97,-0.67,100.0,16087.23,-14.18,-0.72,1597.16,6.98,-4.81,10.02,14346.55,-15.81,-0.18,89.98,3274.73,-26.92,3.09,20.54,3841.54,-3.67,-6.68,24.09,8827.45,-12.29,0.8,55.37
2016,Q2,2016Q2,16218.54,1.72,-1.49,100.0,16349.29,1.63,-1.65,1426.08,-10.71,-11.63,8.79,14792.46,3.11,-0.38,91.21,3635.53,11.02,4.53,22.42,3746.44,-2.48,-7.19,23.1,8836.57,0.1,-1.25,54.48
2016,Q3,2016Q3,17555.44,8.24,-2.34,100.0,17775.97,8.73,-2.38,1420.27,-0.41,-23.04,8.09,16135.17,9.08,0.03,91.91,5035.07,38.5,4.54,28.68,3690.49,-1.49,-12.66,21.02,8829.88,-0.08,-1.17,50.3
2016,Q4,2016Q4,18213.54,3.75,-1.73,100.0,18439.94,3.74,-1.63,1228.69,-13.49,-17.7,6.75,16984.85,5.27,-0.33,93.25,4662.01,-7.41,4.03,25.6,3639.68,-1.38,-8.73,19.98,9911.85,12.25,-1.52,54.42
2017,Q1,2017Q1,15797.97,-13.26,-0.91,100.0,15919.66,-13.67,-1.04,1347.99,9.71,-15.6,8.53,14449.98,-14.92,0.72,91.47,3385.6,-27.38,3.39,21.43,3617.46,-0.61,-5.83,22.9,8794.91,-11.27,-0.37,55.67
2017,Q2,2017Q2,16334.72,3.4,0.72,100.0,16477.42,3.5,0.78,1476.4,9.53,3.53,9.04,14858.32,2.83,0.45,90.96,3745.09,10.62,3.01,22.93,3827.76,5.81,2.17,23.43,8761.87,-0.38,-0.85,53.64
2017,Q3,2017Q3,17760.23,8.73,1.17,100.0,17988.95,9.17,1.2,1747.41,18.36,23.03,9.84,16012.82,7.77,-0.76,90.16,5189.37,38.56,3.06,29.22,3976.03,3.87,7.74,22.39,8594.83,-1.91,-2.66,48.39
2017,Q4,2017Q4,18598.07,4.72,2.11,100.0,18819.66,4.62,2.06,1366.25,-21.81,11.2,7.35,17231.82,7.61,1.45,92.65,4859.44,-6.36,4.23,26.13,3817.03,-4.0,4.87,20.52,9921.6,15.44,0.1,53.35
2018,Q1,2018Q1,16096.65,-13.45,1.89,100.0,16234.95,-13.73,1.98,1537.04,12.5,14.02,9.55,14559.61,-15.51,0.76,90.45,3487.31,-28.24,3.0,21.66,3855.58,1.01,6.58,23.95,8753.76,-11.77,-0.47,54.38
2018,Q2,2018Q2,16580.51,3.01,1.5,100.0,16718.63,2.98,1.46,1418.07,-7.74,-3.95,8.55,15162.44,4.14,2.05,91.45,3789.72,8.67,1.19,22.86,3842.93,-0.33,0.4,23.18,8947.86,2.22,2.12,53.97
2018,Q3,2018Q3,18081.34,9.05,1.81,100.0,18305.13,9.49,1.76,1696.61,19.64,-2.91,9.38,16384.73,8.06,2.32,90.62,5288.34,39.54,1.91,29.25,3971.66,3.35,-0.11,21.97,8821.34,-1.41,2.64,48.79
